
These predictions were generated by SubDyn on 10-Jul-2022 at 18:26:27.




    Time	  -IntfFXss	  -IntfFZss	  -IntfMYss	  IntfTDXss	  IntfTDZss	  M1N1TDxss	  M1N1TDzss	   M1N1FKze	  -M1N1FKye	  -M1N1MKxe	  M2N1TDxss	  M2N1TDzss	   M2N1FKze	  -M2N1FKye	  -M2N1MKxe	  M2N2TDxss	  M2N2TDzss	   M2N2FKze	  -M2N2FKye	  -M2N2MKxe	  M3N1TDxss	  M3N1TDzss	   M3N1FKze	  -M3N1FKye	  -M3N1MKxe	  M4N1TDxss	  M4N1TDzss	   M4N1FKze	  -M4N1FKye	  -M4N1MKxe	  M5N1TDxss	  M5N1TDzss	   M5N1FKze	  -M5N1FKye	  -M5N1MKxe	  M6N1TDxss	  M6N1TDzss	   M6N1FKze	  -M6N1FKye	  -M6N1MKxe	  M7N1TDxss	  M7N1TDzss	   M7N1FKze	  -M7N1FKye	  -M7N1MKxe	  M7N2TDxss	  M7N2TDzss	   M7N2FKze	  -M7N2FKye	  -M7N2MKxe	   M8N1FKze	   M9N1FKze
       s	        (N)	        (N)	       (Nm)	        (m)	        (m)	        (m)	        (m)	        (N)	        (N)	      (N*m)	        (m)	        (m)	        (N)	        (N)	      (N*m)	        (m)	        (m)	        (N)	        (N)	      (N*m)	        (m)	        (m)	        (N)	        (N)	      (N*m)	        (m)	        (m)	        (N)	        (N)	      (N*m)	        (m)	        (m)	        (N)	        (N)	      (N*m)	        (m)	        (m)	        (N)	        (N)	      (N*m)	        (m)	        (m)	        (N)	        (N)	      (N*m)	        (m)	        (m)	        (N)	        (N)	      (N*m)	        (N)	        (N)
    0.6700	 -7.98877218E+07	 -7.70615641E+05	  7.47341720E+05	  0.00000000E+00	  0.00000000E+00	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	 -7.28582472E+05	 -7.78392094E+01	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	  7.07855625E+07	 -5.63562058E+08	 -1.09832854E-03	  2.73501874E-03	 -7.98877218E+07	 -6.81878950E+05	 -7.00482520E+05	 -3.84414991E-03	  1.70958929E-02	 -7.98877218E+07	 -4.20339228E+05	 -3.50646777E+06	 -6.58997127E-03	  3.36025548E-02	 -7.98877218E+07	 -1.86821620E+05	 -5.14112869E+06	 -9.33579263E-03	  5.32742326E-02	 -7.98877218E+07	  4.66959889E+04	 -5.60820158E+06	 -1.20816140E-02	  7.64021509E-02	 -7.98877218E+07	  2.80213598E+05	 -4.90768641E+06	 -1.48274354E-02	  1.02549531E-01	 -7.98877218E+07	  5.13731206E+05	 -3.03958321E+06	 -1.75732567E-02	  1.30551592E-01	 -7.98877218E+07	  7.00545293E+05	 -3.89196015E+03	  6.39064398E+07	  1.99824976E+07
    0.6800	 -7.98877218E+07	 -7.70615641E+05	  7.47341720E+05	  0.00000000E+00	  0.00000000E+00	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	 -7.28582472E+05	 -7.78392094E+01	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	  7.07855625E+07	 -5.63562058E+08	 -1.09832854E-03	  2.73501874E-03	 -7.98877218E+07	 -6.81878950E+05	 -7.00482520E+05	 -3.84414991E-03	  1.70958929E-02	 -7.98877218E+07	 -4.20339228E+05	 -3.50646777E+06	 -6.58997127E-03	  3.36025548E-02	 -7.98877218E+07	 -1.86821620E+05	 -5.14112869E+06	 -9.33579263E-03	  5.32742326E-02	 -7.98877218E+07	  4.66959889E+04	 -5.60820158E+06	 -1.20816140E-02	  7.64021509E-02	 -7.98877218E+07	  2.80213598E+05	 -4.90768641E+06	 -1.48274354E-02	  1.02549531E-01	 -7.98877218E+07	  5.13731206E+05	 -3.03958321E+06	 -1.75732567E-02	  1.30551592E-01	 -7.98877218E+07	  7.00545293E+05	 -3.89196015E+03	  6.39064398E+07	  1.99824976E+07
    0.6900	 -7.98877218E+07	 -7.70615641E+05	  7.47341720E+05	  0.00000000E+00	  0.00000000E+00	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	 -7.28582472E+05	 -7.78392094E+01	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	  7.07855625E+07	 -5.63562058E+08	 -1.09832854E-03	  2.73501874E-03	 -7.98877218E+07	 -6.81878950E+05	 -7.00482520E+05	 -3.84414991E-03	  1.70958929E-02	 -7.98877218E+07	 -4.20339228E+05	 -3.50646777E+06	 -6.58997127E-03	  3.36025548E-02	 -7.98877218E+07	 -1.86821620E+05	 -5.14112869E+06	 -9.33579263E-03	  5.32742326E-02	 -7.98877218E+07	  4.66959889E+04	 -5.60820158E+06	 -1.20816140E-02	  7.64021509E-02	 -7.98877218E+07	  2.80213598E+05	 -4.90768641E+06	 -1.48274354E-02	  1.02549531E-01	 -7.98877218E+07	  5.13731206E+05	 -3.03958321E+06	 -1.75732567E-02	  1.30551592E-01	 -7.98877218E+07	  7.00545293E+05	 -3.89196015E+03	  6.39064398E+07	  1.99824976E+07
    0.7000	 -7.98877218E+07	 -7.70615641E+05	  7.47341720E+05	  0.00000000E+00	  0.00000000E+00	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	 -7.28582472E+05	 -7.78392094E+01	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	  7.07855625E+07	 -5.63562058E+08	 -1.09832854E-03	  2.73501874E-03	 -7.98877218E+07	 -6.81878950E+05	 -7.00482520E+05	 -3.84414991E-03	  1.70958929E-02	 -7.98877218E+07	 -4.20339228E+05	 -3.50646777E+06	 -6.58997127E-03	  3.36025548E-02	 -7.98877218E+07	 -1.86821620E+05	 -5.14112869E+06	 -9.33579263E-03	  5.32742326E-02	 -7.98877218E+07	  4.66959889E+04	 -5.60820158E+06	 -1.20816140E-02	  7.64021509E-02	 -7.98877218E+07	  2.80213598E+05	 -4.90768641E+06	 -1.48274354E-02	  1.02549531E-01	 -7.98877218E+07	  5.13731206E+05	 -3.03958321E+06	 -1.75732567E-02	  1.30551592E-01	 -7.98877218E+07	  7.00545293E+05	 -3.89196015E+03	  6.39064398E+07	  1.99824976E+07
    0.7100	 -7.98877218E+07	 -7.70615641E+05	  7.47341720E+05	  0.00000000E+00	  0.00000000E+00	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	 -7.28582472E+05	 -7.78392094E+01	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	  7.07855625E+07	 -5.63562058E+08	 -1.09832854E-03	  2.73501874E-03	 -7.98877218E+07	 -6.81878950E+05	 -7.00482520E+05	 -3.84414991E-03	  1.70958929E-02	 -7.98877218E+07	 -4.20339228E+05	 -3.50646777E+06	 -6.58997127E-03	  3.36025548E-02	 -7.98877218E+07	 -1.86821620E+05	 -5.14112869E+06	 -9.33579263E-03	  5.32742326E-02	 -7.98877218E+07	  4.66959889E+04	 -5.60820158E+06	 -1.20816140E-02	  7.64021509E-02	 -7.98877218E+07	  2.80213598E+05	 -4.90768641E+06	 -1.48274354E-02	  1.02549531E-01	 -7.98877218E+07	  5.13731206E+05	 -3.03958321E+06	 -1.75732567E-02	  1.30551592E-01	 -7.98877218E+07	  7.00545293E+05	 -3.89196015E+03	  6.39064398E+07	  1.99824976E+07
    0.7200	 -7.98877218E+07	 -7.70615641E+05	  7.47341720E+05	  0.00000000E+00	  0.00000000E+00	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	 -7.28582472E+05	 -7.78392094E+01	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	  7.07855625E+07	 -5.63562058E+08	 -1.09832854E-03	  2.73501874E-03	 -7.98877218E+07	 -6.81878950E+05	 -7.00482520E+05	 -3.84414991E-03	  1.70958929E-02	 -7.98877218E+07	 -4.20339228E+05	 -3.50646777E+06	 -6.58997127E-03	  3.36025548E-02	 -7.98877218E+07	 -1.86821620E+05	 -5.14112869E+06	 -9.33579263E-03	  5.32742326E-02	 -7.98877218E+07	  4.66959889E+04	 -5.60820158E+06	 -1.20816140E-02	  7.64021509E-02	 -7.98877218E+07	  2.80213598E+05	 -4.90768641E+06	 -1.48274354E-02	  1.02549531E-01	 -7.98877218E+07	  5.13731206E+05	 -3.03958321E+06	 -1.75732567E-02	  1.30551592E-01	 -7.98877218E+07	  7.00545293E+05	 -3.89196015E+03	  6.39064398E+07	  1.99824976E+07
    0.7300	 -7.98877218E+07	 -7.70615641E+05	  7.47341720E+05	  0.00000000E+00	  0.00000000E+00	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	 -7.28582472E+05	 -7.78392094E+01	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	  7.07855625E+07	 -5.63562058E+08	 -1.09832854E-03	  2.73501874E-03	 -7.98877218E+07	 -6.81878950E+05	 -7.00482520E+05	 -3.84414991E-03	  1.70958929E-02	 -7.98877218E+07	 -4.20339228E+05	 -3.50646777E+06	 -6.58997127E-03	  3.36025548E-02	 -7.98877218E+07	 -1.86821620E+05	 -5.14112869E+06	 -9.33579263E-03	  5.32742326E-02	 -7.98877218E+07	  4.66959889E+04	 -5.60820158E+06	 -1.20816140E-02	  7.64021509E-02	 -7.98877218E+07	  2.80213598E+05	 -4.90768641E+06	 -1.48274354E-02	  1.02549531E-01	 -7.98877218E+07	  5.13731206E+05	 -3.03958321E+06	 -1.75732567E-02	  1.30551592E-01	 -7.98877218E+07	  7.00545293E+05	 -3.89196015E+03	  6.39064398E+07	  1.99824976E+07
    0.7400	 -7.98877218E+07	 -7.70615641E+05	  7.47341720E+05	  0.00000000E+00	  0.00000000E+00	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	 -7.28582472E+05	 -7.78392094E+01	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	  7.07855625E+07	 -5.63562058E+08	 -1.09832854E-03	  2.73501874E-03	 -7.98877218E+07	 -6.81878950E+05	 -7.00482520E+05	 -3.84414991E-03	  1.70958929E-02	 -7.98877218E+07	 -4.20339228E+05	 -3.50646777E+06	 -6.58997127E-03	  3.36025548E-02	 -7.98877218E+07	 -1.86821620E+05	 -5.14112869E+06	 -9.33579263E-03	  5.32742326E-02	 -7.98877218E+07	  4.66959889E+04	 -5.60820158E+06	 -1.20816140E-02	  7.64021509E-02	 -7.98877218E+07	  2.80213598E+05	 -4.90768641E+06	 -1.48274354E-02	  1.02549531E-01	 -7.98877218E+07	  5.13731206E+05	 -3.03958321E+06	 -1.75732567E-02	  1.30551592E-01	 -7.98877218E+07	  7.00545293E+05	 -3.89196015E+03	  6.39064398E+07	  1.99824976E+07
    0.7500	 -7.98877218E+07	 -7.70615641E+05	  7.47341720E+05	  0.00000000E+00	  0.00000000E+00	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	 -7.28582472E+05	 -7.78392094E+01	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	  7.07855625E+07	 -5.63562058E+08	 -1.09832854E-03	  2.73501874E-03	 -7.98877218E+07	 -6.81878950E+05	 -7.00482520E+05	 -3.84414991E-03	  1.70958929E-02	 -7.98877218E+07	 -4.20339228E+05	 -3.50646777E+06	 -6.58997127E-03	  3.36025548E-02	 -7.98877218E+07	 -1.86821620E+05	 -5.14112869E+06	 -9.33579263E-03	  5.32742326E-02	 -7.98877218E+07	  4.66959889E+04	 -5.60820158E+06	 -1.20816140E-02	  7.64021509E-02	 -7.98877218E+07	  2.80213598E+05	 -4.90768641E+06	 -1.48274354E-02	  1.02549531E-01	 -7.98877218E+07	  5.13731206E+05	 -3.03958321E+06	 -1.75732567E-02	  1.30551592E-01	 -7.98877218E+07	  7.00545293E+05	 -3.89196015E+03	  6.39064398E+07	  1.99824976E+07
    0.7600	 -7.98877218E+07	 -7.70615641E+05	  7.47341720E+05	  0.00000000E+00	  0.00000000E+00	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	 -7.28582472E+05	 -7.78392094E+01	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	  7.07855625E+07	 -5.63562058E+08	 -1.09832854E-03	  2.73501874E-03	 -7.98877218E+07	 -6.81878950E+05	 -7.00482520E+05	 -3.84414991E-03	  1.70958929E-02	 -7.98877218E+07	 -4.20339228E+05	 -3.50646777E+06	 -6.58997127E-03	  3.36025548E-02	 -7.98877218E+07	 -1.86821620E+05	 -5.14112869E+06	 -9.33579263E-03	  5.32742326E-02	 -7.98877218E+07	  4.66959889E+04	 -5.60820158E+06	 -1.20816140E-02	  7.64021509E-02	 -7.98877218E+07	  2.80213598E+05	 -4.90768641E+06	 -1.48274354E-02	  1.02549531E-01	 -7.98877218E+07	  5.13731206E+05	 -3.03958321E+06	 -1.75732567E-02	  1.30551592E-01	 -7.98877218E+07	  7.00545293E+05	 -3.89196015E+03	  6.39064398E+07	  1.99824976E+07
    0.7700	 -7.98877218E+07	 -7.70615641E+05	  7.47341720E+05	  0.00000000E+00	  0.00000000E+00	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	 -7.28582472E+05	 -7.78392094E+01	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	  7.07855625E+07	 -5.63562058E+08	 -1.09832854E-03	  2.73501874E-03	 -7.98877218E+07	 -6.81878950E+05	 -7.00482520E+05	 -3.84414991E-03	  1.70958929E-02	 -7.98877218E+07	 -4.20339228E+05	 -3.50646777E+06	 -6.58997127E-03	  3.36025548E-02	 -7.98877218E+07	 -1.86821620E+05	 -5.14112869E+06	 -9.33579263E-03	  5.32742326E-02	 -7.98877218E+07	  4.66959889E+04	 -5.60820158E+06	 -1.20816140E-02	  7.64021509E-02	 -7.98877218E+07	  2.80213598E+05	 -4.90768641E+06	 -1.48274354E-02	  1.02549531E-01	 -7.98877218E+07	  5.13731206E+05	 -3.03958321E+06	 -1.75732567E-02	  1.30551592E-01	 -7.98877218E+07	  7.00545293E+05	 -3.89196015E+03	  6.39064398E+07	  1.99824976E+07
    0.7800	 -7.98877218E+07	 -7.70615641E+05	  7.47341720E+05	  0.00000000E+00	  0.00000000E+00	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	 -7.28582472E+05	 -7.78392094E+01	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	  7.07855625E+07	 -5.63562058E+08	 -1.09832854E-03	  2.73501874E-03	 -7.98877218E+07	 -6.81878950E+05	 -7.00482520E+05	 -3.84414991E-03	  1.70958929E-02	 -7.98877218E+07	 -4.20339228E+05	 -3.50646777E+06	 -6.58997127E-03	  3.36025548E-02	 -7.98877218E+07	 -1.86821620E+05	 -5.14112869E+06	 -9.33579263E-03	  5.32742326E-02	 -7.98877218E+07	  4.66959889E+04	 -5.60820158E+06	 -1.20816140E-02	  7.64021509E-02	 -7.98877218E+07	  2.80213598E+05	 -4.90768641E+06	 -1.48274354E-02	  1.02549531E-01	 -7.98877218E+07	  5.13731206E+05	 -3.03958321E+06	 -1.75732567E-02	  1.30551592E-01	 -7.98877218E+07	  7.00545293E+05	 -3.89196015E+03	  6.39064398E+07	  1.99824976E+07
    0.7900	 -7.98877218E+07	 -7.70615641E+05	  7.47341720E+05	  0.00000000E+00	  0.00000000E+00	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	 -7.28582472E+05	 -7.78392094E+01	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	  7.07855625E+07	 -5.63562058E+08	 -1.09832854E-03	  2.73501874E-03	 -7.98877218E+07	 -6.81878950E+05	 -7.00482520E+05	 -3.84414991E-03	  1.70958929E-02	 -7.98877218E+07	 -4.20339228E+05	 -3.50646777E+06	 -6.58997127E-03	  3.36025548E-02	 -7.98877218E+07	 -1.86821620E+05	 -5.14112869E+06	 -9.33579263E-03	  5.32742326E-02	 -7.98877218E+07	  4.66959889E+04	 -5.60820158E+06	 -1.20816140E-02	  7.64021509E-02	 -7.98877218E+07	  2.80213598E+05	 -4.90768641E+06	 -1.48274354E-02	  1.02549531E-01	 -7.98877218E+07	  5.13731206E+05	 -3.03958321E+06	 -1.75732567E-02	  1.30551592E-01	 -7.98877218E+07	  7.00545293E+05	 -3.89196015E+03	  6.39064398E+07	  1.99824976E+07
    0.8000	 -7.98877218E+07	 -7.70615641E+05	  7.47341720E+05	  0.00000000E+00	  0.00000000E+00	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	 -7.28582472E+05	 -7.78392094E+01	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	  7.07855625E+07	 -5.63562058E+08	 -1.09832854E-03	  2.73501874E-03	 -7.98877218E+07	 -6.81878950E+05	 -7.00482520E+05	 -3.84414991E-03	  1.70958929E-02	 -7.98877218E+07	 -4.20339228E+05	 -3.50646777E+06	 -6.58997127E-03	  3.36025548E-02	 -7.98877218E+07	 -1.86821620E+05	 -5.14112869E+06	 -9.33579263E-03	  5.32742326E-02	 -7.98877218E+07	  4.66959889E+04	 -5.60820158E+06	 -1.20816140E-02	  7.64021509E-02	 -7.98877218E+07	  2.80213598E+05	 -4.90768641E+06	 -1.48274354E-02	  1.02549531E-01	 -7.98877218E+07	  5.13731206E+05	 -3.03958321E+06	 -1.75732567E-02	  1.30551592E-01	 -7.98877218E+07	  7.00545293E+05	 -3.89196015E+03	  6.39064398E+07	  1.99824976E+07
    0.8100	 -7.98877218E+07	 -7.70615641E+05	  7.47341720E+05	  0.00000000E+00	  0.00000000E+00	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	 -7.28582472E+05	 -7.78392094E+01	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	  7.07855625E+07	 -5.63562058E+08	 -1.09832854E-03	  2.73501874E-03	 -7.98877218E+07	 -6.81878950E+05	 -7.00482520E+05	 -3.84414991E-03	  1.70958929E-02	 -7.98877218E+07	 -4.20339228E+05	 -3.50646777E+06	 -6.58997127E-03	  3.36025548E-02	 -7.98877218E+07	 -1.86821620E+05	 -5.14112869E+06	 -9.33579263E-03	  5.32742326E-02	 -7.98877218E+07	  4.66959889E+04	 -5.60820158E+06	 -1.20816140E-02	  7.64021509E-02	 -7.98877218E+07	  2.80213598E+05	 -4.90768641E+06	 -1.48274354E-02	  1.02549531E-01	 -7.98877218E+07	  5.13731206E+05	 -3.03958321E+06	 -1.75732567E-02	  1.30551592E-01	 -7.98877218E+07	  7.00545293E+05	 -3.89196015E+03	  6.39064398E+07	  1.99824976E+07
    0.8200	 -7.98877218E+07	 -7.70615641E+05	  7.47341720E+05	  0.00000000E+00	  0.00000000E+00	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	 -7.28582472E+05	 -7.78392094E+01	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	  7.07855625E+07	 -5.63562058E+08	 -1.09832854E-03	  2.73501874E-03	 -7.98877218E+07	 -6.81878950E+05	 -7.00482520E+05	 -3.84414991E-03	  1.70958929E-02	 -7.98877218E+07	 -4.20339228E+05	 -3.50646777E+06	 -6.58997127E-03	  3.36025548E-02	 -7.98877218E+07	 -1.86821620E+05	 -5.14112869E+06	 -9.33579263E-03	  5.32742326E-02	 -7.98877218E+07	  4.66959889E+04	 -5.60820158E+06	 -1.20816140E-02	  7.64021509E-02	 -7.98877218E+07	  2.80213598E+05	 -4.90768641E+06	 -1.48274354E-02	  1.02549531E-01	 -7.98877218E+07	  5.13731206E+05	 -3.03958321E+06	 -1.75732567E-02	  1.30551592E-01	 -7.98877218E+07	  7.00545293E+05	 -3.89196015E+03	  6.39064398E+07	  1.99824976E+07
    0.8300	 -7.98877218E+07	 -7.70615641E+05	  7.47341720E+05	  0.00000000E+00	  0.00000000E+00	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	 -7.28582472E+05	 -7.78392094E+01	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	  7.07855625E+07	 -5.63562058E+08	 -1.09832854E-03	  2.73501874E-03	 -7.98877218E+07	 -6.81878950E+05	 -7.00482520E+05	 -3.84414991E-03	  1.70958929E-02	 -7.98877218E+07	 -4.20339228E+05	 -3.50646777E+06	 -6.58997127E-03	  3.36025548E-02	 -7.98877218E+07	 -1.86821620E+05	 -5.14112869E+06	 -9.33579263E-03	  5.32742326E-02	 -7.98877218E+07	  4.66959889E+04	 -5.60820158E+06	 -1.20816140E-02	  7.64021509E-02	 -7.98877218E+07	  2.80213598E+05	 -4.90768641E+06	 -1.48274354E-02	  1.02549531E-01	 -7.98877218E+07	  5.13731206E+05	 -3.03958321E+06	 -1.75732567E-02	  1.30551592E-01	 -7.98877218E+07	  7.00545293E+05	 -3.89196015E+03	  6.39064398E+07	  1.99824976E+07
    0.8400	 -7.98877218E+07	 -7.70615641E+05	  7.47341720E+05	  0.00000000E+00	  0.00000000E+00	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	 -7.28582472E+05	 -7.78392094E+01	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	  7.07855625E+07	 -5.63562058E+08	 -1.09832854E-03	  2.73501874E-03	 -7.98877218E+07	 -6.81878950E+05	 -7.00482520E+05	 -3.84414991E-03	  1.70958929E-02	 -7.98877218E+07	 -4.20339228E+05	 -3.50646777E+06	 -6.58997127E-03	  3.36025548E-02	 -7.98877218E+07	 -1.86821620E+05	 -5.14112869E+06	 -9.33579263E-03	  5.32742326E-02	 -7.98877218E+07	  4.66959889E+04	 -5.60820158E+06	 -1.20816140E-02	  7.64021509E-02	 -7.98877218E+07	  2.80213598E+05	 -4.90768641E+06	 -1.48274354E-02	  1.02549531E-01	 -7.98877218E+07	  5.13731206E+05	 -3.03958321E+06	 -1.75732567E-02	  1.30551592E-01	 -7.98877218E+07	  7.00545293E+05	 -3.89196015E+03	  6.39064398E+07	  1.99824976E+07
    0.8500	 -7.98877218E+07	 -7.70615641E+05	  7.47341720E+05	  0.00000000E+00	  0.00000000E+00	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	 -7.28582472E+05	 -7.78392094E+01	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	  7.07855625E+07	 -5.63562058E+08	 -1.09832854E-03	  2.73501874E-03	 -7.98877218E+07	 -6.81878950E+05	 -7.00482520E+05	 -3.84414991E-03	  1.70958929E-02	 -7.98877218E+07	 -4.20339228E+05	 -3.50646777E+06	 -6.58997127E-03	  3.36025548E-02	 -7.98877218E+07	 -1.86821620E+05	 -5.14112869E+06	 -9.33579263E-03	  5.32742326E-02	 -7.98877218E+07	  4.66959889E+04	 -5.60820158E+06	 -1.20816140E-02	  7.64021509E-02	 -7.98877218E+07	  2.80213598E+05	 -4.90768641E+06	 -1.48274354E-02	  1.02549531E-01	 -7.98877218E+07	  5.13731206E+05	 -3.03958321E+06	 -1.75732567E-02	  1.30551592E-01	 -7.98877218E+07	  7.00545293E+05	 -3.89196015E+03	  6.39064398E+07	  1.99824976E+07
    0.8600	 -7.98877218E+07	 -7.70615641E+05	  7.47341720E+05	  0.00000000E+00	  0.00000000E+00	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	 -7.28582472E+05	 -7.78392094E+01	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	  7.07855625E+07	 -5.63562058E+08	 -1.09832854E-03	  2.73501874E-03	 -7.98877218E+07	 -6.81878950E+05	 -7.00482520E+05	 -3.84414991E-03	  1.70958929E-02	 -7.98877218E+07	 -4.20339228E+05	 -3.50646777E+06	 -6.58997127E-03	  3.36025548E-02	 -7.98877218E+07	 -1.86821620E+05	 -5.14112869E+06	 -9.33579263E-03	  5.32742326E-02	 -7.98877218E+07	  4.66959889E+04	 -5.60820158E+06	 -1.20816140E-02	  7.64021509E-02	 -7.98877218E+07	  2.80213598E+05	 -4.90768641E+06	 -1.48274354E-02	  1.02549531E-01	 -7.98877218E+07	  5.13731206E+05	 -3.03958321E+06	 -1.75732567E-02	  1.30551592E-01	 -7.98877218E+07	  7.00545293E+05	 -3.89196015E+03	  6.39064398E+07	  1.99824976E+07
    0.8700	 -7.98877218E+07	 -7.70615641E+05	  7.47341720E+05	  0.00000000E+00	  0.00000000E+00	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	 -7.28582472E+05	 -7.78392094E+01	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	  7.07855625E+07	 -5.63562058E+08	 -1.09832854E-03	  2.73501874E-03	 -7.98877218E+07	 -6.81878950E+05	 -7.00482520E+05	 -3.84414991E-03	  1.70958929E-02	 -7.98877218E+07	 -4.20339228E+05	 -3.50646777E+06	 -6.58997127E-03	  3.36025548E-02	 -7.98877218E+07	 -1.86821620E+05	 -5.14112869E+06	 -9.33579263E-03	  5.32742326E-02	 -7.98877218E+07	  4.66959889E+04	 -5.60820158E+06	 -1.20816140E-02	  7.64021509E-02	 -7.98877218E+07	  2.80213598E+05	 -4.90768641E+06	 -1.48274354E-02	  1.02549531E-01	 -7.98877218E+07	  5.13731206E+05	 -3.03958321E+06	 -1.75732567E-02	  1.30551592E-01	 -7.98877218E+07	  7.00545293E+05	 -3.89196015E+03	  6.39064398E+07	  1.99824976E+07
    0.8800	 -7.98877218E+07	 -7.70615641E+05	  7.47341720E+05	  0.00000000E+00	  0.00000000E+00	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	 -7.28582472E+05	 -7.78392094E+01	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	  7.07855625E+07	 -5.63562058E+08	 -1.09832854E-03	  2.73501874E-03	 -7.98877218E+07	 -6.81878950E+05	 -7.00482520E+05	 -3.84414991E-03	  1.70958929E-02	 -7.98877218E+07	 -4.20339228E+05	 -3.50646777E+06	 -6.58997127E-03	  3.36025548E-02	 -7.98877218E+07	 -1.86821620E+05	 -5.14112869E+06	 -9.33579263E-03	  5.32742326E-02	 -7.98877218E+07	  4.66959889E+04	 -5.60820158E+06	 -1.20816140E-02	  7.64021509E-02	 -7.98877218E+07	  2.80213598E+05	 -4.90768641E+06	 -1.48274354E-02	  1.02549531E-01	 -7.98877218E+07	  5.13731206E+05	 -3.03958321E+06	 -1.75732567E-02	  1.30551592E-01	 -7.98877218E+07	  7.00545293E+05	 -3.89196015E+03	  6.39064398E+07	  1.99824976E+07
    0.8900	 -7.98877218E+07	 -7.70615641E+05	  7.47341720E+05	  0.00000000E+00	  0.00000000E+00	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	 -7.28582472E+05	 -7.78392094E+01	 -5.49164272E-04	 -2.06050279E-05	 -7.98877218E+07	  7.07855625E+07	 -5.63562058E+08	 -1.09832854E-03	  2.73501874E-03	 -7.98877218E+07	 -6.81878950E+05	 -7.00482520E+05	 -3.84414991E-03	  1.70958929E-02	 -7.98877218E+07	 -4.20339228E+05	 -3.50646777E+06	 -6.58997127E-03	  3.36025548E-02	 -7.98877218E+07	 -1.86821620E+05	 -5.14112869E+06	 -9.33579263E-03	  5.32742326E-02	 -7.98877218E+07	  4.66959889E+04	 -5.60820158E+06	 -1.20816140E-02	  7.64021509E-02	 -7.98877218E+07	  2.80213598E+05	 -4.90768641E+06	 -1.48274354E-02	  1.02549531E-01	 -7.98877218E+07	  5.13731206E+05	 -3.03958321E+06	 -1.75732567E-02	  1.30551592E-01	 -7.98877218E+07	  7.00545293E+05	 -3.89196015E+03	  6.39064398E+07	  1.99824976E+07
